Participant_ID,Name,Track,Day,State,College,Content_Score,Design_Score,Presentation_Score,Overall_Score,Feedback,Topic
P161,Paul Castaneda,Engineering Sciences,Day 1,Gujarat,Pune University,7.6,8.8,9.1,8.5,Impressive work on Robotics. The analysis was innovative and thorough.,Robotics
P162,Jennifer Adkins,Physical Sciences,Day 4,Kerala,Amity University,5.6,9.1,7.8,7.5,"Good presentation on Astronomical Observations, though the data could be better organized.",Astronomical Observations
P163,Lindsey Walker,Engineering Sciences,Day 1,Rajasthan,IIT Kharagpur,5.8,6.6,8.5,7.0,Fascinating research on IoT Applications. The conclusions were detailed.,IoT Applications
P164,Jeffrey Johnson,Engineering Sciences,Day 3,Delhi,VIT Vellore,5.6,6.5,7.7,6.6,"Good presentation on IoT Applications, though the data could be more focused.",IoT Applications
P165,Michael Powell,Life Sciences,Day 2,Kerala,SRM Chennai,6.7,9.6,5.2,7.2,The presentation on Ecology lacked stronger evidence.,Ecology
P166,John Anderson,Social Sciences,Day 2,Punjab,Anna University,8.2,7.5,8.1,7.9,Impressive work on Behavioral Psychology. The analysis was rigorous and thorough.,Behavioral Psychology
P167,Alyssa Long,Life Sciences,Day 4,Gujarat,Bangalore University,8.4,5.8,7.1,7.1,Impressive work on Genetic Engineering. The analysis was insightful and thorough.,Genetic Engineering
P168,Alyssa Day,Life Sciences,Day 3,Haryana,Delhi University,9.9,5.7,6.9,7.5,"Nice effort on Neuroscience, but the analysis needs to be more more detailed.",Neuroscience
P169,Joel Williams,Physical Sciences,Day 1,Gujarat,Bangalore University,5.7,5.3,9.7,6.9,The work on Materials Science could benefit from more coherent references.,Materials Science
P170,Daniel Murphy,Life Sciences,Day 3,Punjab,Delhi University,8.8,7.5,7.6,8.0,Impressive work on Microbiology. The analysis was rigorous and thorough.,Microbiology
P171,Jamie Walton,Engineering Sciences,Day 1,West Bengal,Amity University,9.8,6.1,6.8,7.6,Great insights into Robotics. The visual representation was insightful.,Robotics
P172,Darlene Miller,Physical Sciences,Day 3,Rajasthan,IIT Bombay,7.2,9.4,8.6,8.4,"Nice effort on Quantum Physics, but the analysis needs to be more clearer.",Quantum Physics
P173,Joshua Cooke,Physical Sciences,Day 1,Punjab,VIT Vellore,6.8,6.4,6.9,6.7,Fascinating research on Materials Science. The conclusions were detailed.,Materials Science
P174,Matthew Harrington,Engineering Sciences,Day 2,Karnataka,Pune University,9.0,6.7,9.7,8.5,"Good presentation on IoT Applications, though the data could be more focused.",IoT Applications
P175,Nicole Herring,Physical Sciences,Day 1,Maharashtra,IIT Delhi,8.6,9.0,7.6,8.4,Fascinating research on Materials Science. The conclusions were comprehensive.,Materials Science
P176,Alex Hernandez,Social Sciences,Day 3,Tamil Nadu,Pune University,8.7,6.5,6.7,7.3,The study on Behavioral Psychology needs more robust clarification.,Behavioral Psychology
P177,Michael Elliott,Social Sciences,Day 4,Maharashtra,Mumbai University,8.4,9.9,7.9,8.7,Interesting approach to Cultural Studies. The methodology could be more focused.,Cultural Studies
P178,Michael Wang,Physical Sciences,Day 3,Kerala,IIIT Hyderabad,6.1,5.3,7.4,6.3,"Standard research on Chemical Synthesis, could use more better organized perspectives.",Chemical Synthesis
P179,Lawrence Adkins,Life Sciences,Day 2,Maharashtra,IIIT Hyderabad,6.0,7.2,7.1,6.8,Very informative poster about Genetic Engineering. The results were rigorous.,Genetic Engineering
P180,Robert Oconnell,Physical Sciences,Day 1,Haryana,IIT Kharagpur,6.0,6.6,8.3,7.0,"Nice effort on Chemical Synthesis, but the analysis needs to be more more detailed.",Chemical Synthesis
P181,Alexander Collins,Physical Sciences,Day 3,Rajasthan,Mumbai University,8.1,6.0,6.2,6.8,"Good presentation on Astronomical Observations, though the data could be more structured.",Astronomical Observations
P182,Tina Sanders,Social Sciences,Day 2,Haryana,Jadavpur University,7.4,7.8,9.7,8.3,"Nice effort on Cultural Studies, but the analysis needs to be more clearer.",Cultural Studies
P183,Angela Vaughn,Physical Sciences,Day 4,Telangana,IIT Kharagpur,5.2,9.8,5.4,6.8,Research on Astronomical Observations requires more more robust methodology.,Astronomical Observations
P184,Ashley Barton,Life Sciences,Day 2,Rajasthan,BITS Pilani,8.5,5.7,8.1,7.4,"Good presentation on Ecology, though the data could be clearer.",Ecology
P185,Lindsay Martinez,Life Sciences,Day 2,Maharashtra,IIT Kanpur,6.7,7.4,8.4,7.5,Fascinating research on Biotechnology. The conclusions were comprehensive.,Biotechnology
P186,Dr. Hannah Patterson,Physical Sciences,Day 4,Uttar Pradesh,NIT Warangal,6.6,8.2,9.5,8.1,Fascinating research on Astronomical Observations. The conclusions were comprehensive.,Astronomical Observations
P187,Jonathan Peterson,Engineering Sciences,Day 2,West Bengal,NIT Trichy,10.0,7.0,7.5,8.2,Research on Renewable Energy requires more stronger methodology.,Renewable Energy
P188,Samantha Garcia,Engineering Sciences,Day 3,Punjab,SRM Chennai,9.6,6.7,7.3,7.9,"Standard research on Renewable Energy, could use more better organized perspectives.",Renewable Energy
P189,Madison Poole,Life Sciences,Day 4,Gujarat,NIT Warangal,6.7,8.7,8.2,7.9,Interesting approach to Genetic Engineering. The methodology could be more structured.,Genetic Engineering
P190,Jessica Gross,Social Sciences,Day 2,Tamil Nadu,SRM Chennai,9.1,7.6,5.4,7.4,"Good presentation on Educational Reform, though the data could be more detailed.",Educational Reform
P191,Debra Morton,Physical Sciences,Day 3,Delhi,IIT Bombay,6.9,7.2,6.3,6.8,Fascinating research on Astronomical Observations. The conclusions were insightful.,Astronomical Observations
P192,Karen Graham,Engineering Sciences,Day 3,Kerala,Mumbai University,5.3,5.6,6.5,5.8,Fascinating research on Machine Learning. The conclusions were detailed.,Machine Learning
P193,Debra Christian,Engineering Sciences,Day 3,Telangana,SRM Chennai,6.1,5.7,5.8,5.9,"Standard research on Machine Learning, could use more more structured perspectives.",Machine Learning
P194,Angelica Keith,Physical Sciences,Day 4,Rajasthan,NIT Warangal,8.4,8.0,8.9,8.4,"Standard research on Materials Science, could use more more structured perspectives.",Materials Science
P195,John Bishop,Engineering Sciences,Day 1,Maharashtra,VIT Vellore,6.0,7.7,5.8,6.5,The work on Sustainable Architecture could benefit from stronger references.,Sustainable Architecture
P196,Allen Rosales,Life Sciences,Day 4,Karnataka,Amity University,9.0,7.3,7.6,8.0,Excellent presentation on Biotechnology. The research methodology was insightful.,Biotechnology
P197,Daniel Salinas,Physical Sciences,Day 3,Haryana,IIT Bombay,6.3,5.0,6.1,5.8,Great insights into Climate Modeling. The visual representation was detailed.,Climate Modeling
P198,Spencer Haynes,Engineering Sciences,Day 1,Karnataka,Jadavpur University,6.4,5.9,5.7,6.0,"Decent work on Renewable Energy, would benefit from more more structured examples.",Renewable Energy
P199,Adam Vaughan,Physical Sciences,Day 4,West Bengal,Pune University,8.4,8.3,7.7,8.1,"Nice effort on Quantum Physics, but the analysis needs to be more clearer.",Quantum Physics
P200,Nathan Freeman,Life Sciences,Day 4,Rajasthan,IIT Kharagpur,9.2,8.8,9.9,9.3,Fascinating research on Microbiology. The conclusions were rigorous.,Microbiology
P201,Melissa Brewer,Physical Sciences,Day 2,Delhi,Bangalore University,5.8,5.9,9.4,7.0,Interesting approach to Astronomical Observations. The methodology could be better organized.,Astronomical Observations
P202,Ricky Davis II,Engineering Sciences,Day 2,Delhi,IIT Madras,8.0,7.2,8.4,7.9,The poster about Renewable Energy needs more stronger analysis.,Renewable Energy
P203,Elizabeth Perkins,Physical Sciences,Day 4,Delhi,VIT Vellore,8.8,8.9,5.7,7.8,The poster about Materials Science needs more more comprehensive analysis.,Materials Science
P204,Joseph Coleman,Social Sciences,Day 3,Delhi,BITS Hyderabad,9.9,7.6,7.1,8.2,Fascinating research on Economic Policy. The conclusions were insightful.,Economic Policy
P205,Erin Warner,Life Sciences,Day 4,Rajasthan,Jadavpur University,9.9,9.7,8.4,9.3,"Nice effort on Genetic Engineering, but the analysis needs to be more better organized.",Genetic Engineering
P206,David Martinez,Physical Sciences,Day 2,Gujarat,Pune University,8.8,7.4,9.2,8.5,Very informative poster about Materials Science. The results were rigorous.,Materials Science
P207,Bryan Herrera,Engineering Sciences,Day 4,West Bengal,VIT Vellore,5.7,6.2,6.0,6.0,"Decent work on Sustainable Architecture, would benefit from more more structured examples.",Sustainable Architecture
P208,Cathy Robinson,Engineering Sciences,Day 2,Maharashtra,BITS Pilani,8.4,8.0,9.4,8.6,Fascinating research on Robotics. The conclusions were insightful.,Robotics
P209,Dr. William Warren,Life Sciences,Day 4,Delhi,Delhi University,9.8,5.1,9.7,8.2,The presentation on Neuroscience lacked more robust evidence.,Neuroscience
P210,Brian Lee,Life Sciences,Day 2,West Bengal,NIT Surathkal,6.6,6.4,7.3,6.8,"Nice effort on Ecology, but the analysis needs to be more more structured.",Ecology
P211,Christopher Smith,Social Sciences,Day 4,Uttar Pradesh,IIT Kanpur,8.8,6.6,6.0,7.1,Excellent presentation on Educational Reform. The research methodology was insightful.,Educational Reform
P212,Denise Mccann,Life Sciences,Day 2,Maharashtra,BITS Pilani,9.7,7.9,7.1,8.2,Impressive work on Ecology. The analysis was comprehensive and thorough.,Ecology
P213,Melissa Martinez,Physical Sciences,Day 2,Uttar Pradesh,VIT Vellore,6.3,9.1,9.8,8.4,"Decent work on Astronomical Observations, would benefit from more better organized examples.",Astronomical Observations
P214,Katherine Salas,Life Sciences,Day 3,Tamil Nadu,IIT Kharagpur,7.4,9.6,7.7,8.2,Interesting approach to Ecology. The methodology could be more focused.,Ecology
P215,Julie Alexander,Engineering Sciences,Day 1,Kerala,IIT Delhi,7.1,9.2,6.2,7.5,Interesting approach to Renewable Energy. The methodology could be more detailed.,Renewable Energy
P216,Anthony Everett,Physical Sciences,Day 3,Maharashtra,SRM Chennai,9.6,8.3,5.1,7.7,"Decent work on Chemical Synthesis, would benefit from more clearer examples.",Chemical Synthesis
P217,Rodney Morales,Engineering Sciences,Day 3,Rajasthan,BITS Hyderabad,7.5,8.5,7.2,7.7,The poster about Renewable Energy needs more stronger analysis.,Renewable Energy
P218,Mark Brown,Engineering Sciences,Day 2,Delhi,NIT Warangal,7.6,9.1,6.3,7.7,Impressive work on Sustainable Architecture. The analysis was rigorous and thorough.,Sustainable Architecture
P219,Justin Torres,Physical Sciences,Day 2,Haryana,NIT Surathkal,8.4,9.2,8.3,8.6,The presentation on Astronomical Observations lacked stronger evidence.,Astronomical Observations
P220,Bailey Duran DDS,Physical Sciences,Day 4,West Bengal,VIT Vellore,5.3,5.0,5.9,5.4,Great insights into Climate Modeling. The visual representation was detailed.,Climate Modeling
P221,Courtney Mills,Engineering Sciences,Day 1,Delhi,NIT Warangal,7.4,5.2,5.4,6.0,The study on Sustainable Architecture needs more comprehensive clarification.,Sustainable Architecture
P222,Jeremy Dalton,Engineering Sciences,Day 2,Telangana,IIT Bombay,7.9,8.8,8.6,8.4,Excellent presentation on Machine Learning. The research methodology was detailed.,Machine Learning
P223,Elizabeth Oliver DDS,Life Sciences,Day 2,Punjab,Pune University,6.7,8.8,5.7,7.1,The presentation on Ecology lacked more comprehensive evidence.,Ecology
P224,Theresa Clark,Social Sciences,Day 1,Karnataka,Anna University,9.2,6.7,8.8,8.2,The work on Economic Policy could benefit from better designed references.,Economic Policy
P225,Matthew Moore,Engineering Sciences,Day 3,Uttar Pradesh,Jadavpur University,6.8,9.7,7.2,7.9,"Decent work on Machine Learning, would benefit from more clearer examples.",Machine Learning
P226,Benjamin Smith,Social Sciences,Day 2,Haryana,IIT Madras,6.3,6.9,8.9,7.4,Great insights into Urban Development. The visual representation was detailed.,Urban Development
P227,Kirk Carter,Social Sciences,Day 1,Karnataka,IIT Bombay,7.2,8.8,5.5,7.2,Great insights into Cultural Studies. The visual representation was rigorous.,Cultural Studies
P228,Michael Warner,Physical Sciences,Day 1,Maharashtra,IIT Madras,7.8,8.0,8.9,8.2,The presentation on Astronomical Observations lacked better designed evidence.,Astronomical Observations
P229,Michael Bradshaw,Physical Sciences,Day 4,Karnataka,VIT Vellore,7.9,5.8,6.9,6.9,Impressive work on Materials Science. The analysis was detailed and thorough.,Materials Science
P230,Lori Guerrero,Physical Sciences,Day 2,Karnataka,NIT Trichy,6.4,6.5,8.9,7.3,Very informative poster about Climate Modeling. The results were rigorous.,Climate Modeling
P231,Jessica Stephens,Life Sciences,Day 4,Karnataka,IIT Kharagpur,5.0,7.0,9.2,7.1,Impressive work on Neuroscience. The analysis was rigorous and thorough.,Neuroscience
P232,Susan Serrano,Social Sciences,Day 4,Kerala,SRM Chennai,6.5,8.0,8.5,7.7,Very informative poster about Economic Policy. The results were rigorous.,Economic Policy
P233,Christopher Parker,Social Sciences,Day 3,Haryana,Jadavpur University,8.9,6.6,6.4,7.3,"Nice effort on Behavioral Psychology, but the analysis needs to be more clearer.",Behavioral Psychology
P234,Laura Roberts,Life Sciences,Day 2,Kerala,VIT Vellore,9.8,7.3,8.5,8.5,Impressive work on Genetic Engineering. The analysis was innovative and thorough.,Genetic Engineering
P235,Michael Lyons,Physical Sciences,Day 4,Tamil Nadu,BITS Hyderabad,6.3,5.8,7.1,6.4,Great insights into Materials Science. The visual representation was insightful.,Materials Science
P236,Kathryn Snyder,Physical Sciences,Day 4,Rajasthan,Amity University,7.7,9.0,6.8,7.8,The study on Climate Modeling needs more comprehensive clarification.,Climate Modeling
P237,Andrew Reynolds,Engineering Sciences,Day 1,Delhi,Mumbai University,8.2,5.2,9.9,7.8,"Decent work on Machine Learning, would benefit from more more structured examples.",Machine Learning
P238,David Davis,Physical Sciences,Day 1,Maharashtra,IIT Kanpur,6.1,8.7,7.8,7.5,"Good presentation on Astronomical Observations, though the data could be better organized.",Astronomical Observations
P239,Sara Johnston,Social Sciences,Day 4,Uttar Pradesh,IIIT Hyderabad,5.8,10.0,7.4,7.7,Excellent presentation on Behavioral Psychology. The research methodology was innovative.,Behavioral Psychology
P240,Yvonne Chambers,Life Sciences,Day 3,Gujarat,Delhi University,8.9,7.6,6.7,7.7,Great insights into Biotechnology. The visual representation was detailed.,Biotechnology
P241,Andrew Avila,Engineering Sciences,Day 3,Maharashtra,IIT Kanpur,9.2,8.2,8.4,8.6,Very informative poster about Renewable Energy. The results were insightful.,Renewable Energy
P242,Matthew Moon,Life Sciences,Day 2,Telangana,VIT Vellore,9.8,6.2,7.0,7.7,Great insights into Biotechnology. The visual representation was rigorous.,Biotechnology
P243,Kevin Walters,Engineering Sciences,Day 2,Uttar Pradesh,IIIT Hyderabad,6.9,8.5,6.0,7.1,Interesting approach to Robotics. The methodology could be more focused.,Robotics
P244,Brandon Bailey MD,Engineering Sciences,Day 2,Telangana,Delhi University,7.3,6.3,9.3,7.6,"Nice effort on Machine Learning, but the analysis needs to be more more focused.",Machine Learning
P245,Shannon Rivera,Physical Sciences,Day 4,Punjab,IIT Kanpur,6.8,7.3,5.9,6.7,"Nice effort on Astronomical Observations, but the analysis needs to be more more focused.",Astronomical Observations
P246,Donna Landry,Engineering Sciences,Day 2,Telangana,IIT Kanpur,6.5,5.9,8.5,7.0,"Decent work on Machine Learning, would benefit from more more focused examples.",Machine Learning
P247,Krista Gibson,Life Sciences,Day 4,West Bengal,NIT Trichy,8.2,8.5,8.2,8.3,The study on Biotechnology needs more coherent clarification.,Biotechnology
P248,Frank Cordova,Physical Sciences,Day 3,Tamil Nadu,NIT Trichy,9.2,8.1,9.3,8.9,The work on Astronomical Observations could benefit from more coherent references.,Astronomical Observations
P249,Jose Travis,Life Sciences,Day 4,Rajasthan,Amity University,7.0,7.5,8.6,7.7,Very informative poster about Biotechnology. The results were innovative.,Biotechnology
P250,Kimberly Gutierrez,Engineering Sciences,Day 2,Gujarat,IIT Delhi,6.1,6.4,8.9,7.1,"Decent work on IoT Applications, would benefit from more more focused examples.",IoT Applications
P251,Isaiah Avila,Engineering Sciences,Day 1,Gujarat,VIT Vellore,7.7,8.8,8.8,8.4,Very informative poster about IoT Applications. The results were rigorous.,IoT Applications
P252,Olivia Harris,Engineering Sciences,Day 2,Gujarat,IIT Delhi,6.3,9.3,5.4,7.0,The presentation on Robotics lacked more coherent evidence.,Robotics
P253,Tanya Kim,Life Sciences,Day 3,Haryana,SRM Chennai,5.8,5.7,6.0,5.8,Excellent presentation on Biotechnology. The research methodology was insightful.,Biotechnology
P254,Barbara Dudley,Social Sciences,Day 3,Punjab,VIT Vellore,6.6,8.5,6.4,7.2,Fascinating research on Economic Policy. The conclusions were innovative.,Economic Policy
P255,Cynthia Moore,Life Sciences,Day 4,Maharashtra,BITS Pilani,8.5,5.7,5.7,6.6,Very informative poster about Microbiology. The results were rigorous.,Microbiology
P256,Kristen Davis,Physical Sciences,Day 2,Punjab,BITS Pilani,6.9,5.4,9.0,7.1,"Decent work on Climate Modeling, would benefit from more more focused examples.",Climate Modeling
P257,Susan Murray MD,Social Sciences,Day 3,Uttar Pradesh,Jadavpur University,7.9,9.3,9.2,8.8,Great insights into Cultural Studies. The visual representation was detailed.,Cultural Studies
P258,Kathleen Moran,Engineering Sciences,Day 4,Delhi,Anna University,7.5,6.6,6.4,6.8,"Good presentation on Machine Learning, though the data could be more focused.",Machine Learning
P259,Denise Davenport,Physical Sciences,Day 3,Kerala,IIT Delhi,5.5,8.9,7.3,7.2,Very informative poster about Quantum Physics. The results were rigorous.,Quantum Physics
P260,Mrs. Kristen Reyes,Physical Sciences,Day 1,West Bengal,NIT Warangal,9.4,6.5,9.4,8.4,The presentation on Materials Science lacked better designed evidence.,Materials Science
P261,Katie Suarez,Social Sciences,Day 1,Telangana,NIT Trichy,7.0,6.5,8.5,7.3,Excellent presentation on Urban Development. The research methodology was innovative.,Urban Development
P262,Desiree Tyler,Engineering Sciences,Day 2,Uttar Pradesh,IIT Madras,8.0,7.6,7.2,7.6,Impressive work on Machine Learning. The analysis was innovative and thorough.,Machine Learning
P263,Timothy Romero,Physical Sciences,Day 2,Uttar Pradesh,IIT Madras,6.9,8.7,5.5,7.0,Impressive work on Materials Science. The analysis was comprehensive and thorough.,Materials Science
P264,Diane Evans,Physical Sciences,Day 2,Kerala,IIT Kharagpur,7.7,5.0,8.3,7.0,Very informative poster about Quantum Physics. The results were comprehensive.,Quantum Physics
P265,Yvonne Burns,Physical Sciences,Day 4,Delhi,IIT Madras,5.7,5.6,8.7,6.7,Great insights into Quantum Physics. The visual representation was detailed.,Quantum Physics
P266,Joshua Reed,Life Sciences,Day 2,Gujarat,IIT Madras,7.8,8.0,8.0,7.9,Interesting approach to Microbiology. The methodology could be more structured.,Microbiology
P267,Kimberly Gibson,Life Sciences,Day 2,Haryana,Pune University,8.2,8.9,9.0,8.7,Great insights into Neuroscience. The visual representation was innovative.,Neuroscience
P268,Colin Terry,Life Sciences,Day 4,Kerala,SRM Chennai,7.6,9.9,9.9,9.1,The poster about Genetic Engineering needs more more robust analysis.,Genetic Engineering
P269,Cynthia Rowe,Physical Sciences,Day 3,Rajasthan,NIT Trichy,9.8,8.9,5.1,7.9,Impressive work on Climate Modeling. The analysis was comprehensive and thorough.,Climate Modeling
P270,Patrick Thornton,Engineering Sciences,Day 1,West Bengal,Amity University,8.1,7.5,7.1,7.6,Interesting approach to IoT Applications. The methodology could be more focused.,IoT Applications
P271,Jasmin Alvarado,Life Sciences,Day 3,Karnataka,BITS Hyderabad,7.6,6.0,9.0,7.5,"Decent work on Genetic Engineering, would benefit from more more focused examples.",Genetic Engineering
P272,Veronica Simpson,Engineering Sciences,Day 3,Haryana,Anna University,5.3,5.4,7.2,6.0,Fascinating research on Machine Learning. The conclusions were innovative.,Machine Learning
P273,Jonathan Lawrence,Social Sciences,Day 2,Karnataka,IIT Bombay,8.5,5.8,9.8,8.0,"Nice effort on Economic Policy, but the analysis needs to be more more detailed.",Economic Policy
P274,Shelly Alexander,Social Sciences,Day 2,Haryana,BITS Pilani,8.9,5.1,9.0,7.7,Excellent presentation on Urban Development. The research methodology was detailed.,Urban Development
P275,Joyce Bowen,Engineering Sciences,Day 4,Uttar Pradesh,Amity University,5.3,9.3,5.8,6.8,Excellent presentation on IoT Applications. The research methodology was insightful.,IoT Applications
P276,Matthew Moore,Engineering Sciences,Day 2,Haryana,Amity University,5.2,9.3,6.2,6.9,Great insights into Renewable Energy. The visual representation was comprehensive.,Renewable Energy
P277,Wayne Morgan,Life Sciences,Day 1,Rajasthan,Anna University,6.6,7.1,8.6,7.4,Excellent presentation on Microbiology. The research methodology was insightful.,Microbiology
P278,Marie Christian,Social Sciences,Day 1,Rajasthan,IIT Delhi,6.1,7.6,5.2,6.3,Great insights into Economic Policy. The visual representation was detailed.,Economic Policy
P279,Shannon James,Social Sciences,Day 3,Karnataka,VIT Vellore,5.0,6.0,7.8,6.3,Fascinating research on Educational Reform. The conclusions were comprehensive.,Educational Reform
P280,Nathan Malone,Physical Sciences,Day 3,Punjab,Jadavpur University,8.7,7.7,9.0,8.5,Great insights into Materials Science. The visual representation was innovative.,Materials Science
P281,Amanda Jones,Life Sciences,Day 3,Kerala,IIT Bombay,5.0,8.3,9.2,7.5,Interesting approach to Neuroscience. The methodology could be more detailed.,Neuroscience
P282,Tammie Bright,Life Sciences,Day 4,Uttar Pradesh,IIT Delhi,8.6,5.5,9.6,7.9,The study on Microbiology needs more robust clarification.,Microbiology
P283,Jessica Garcia,Social Sciences,Day 4,Haryana,IIT Madras,5.5,5.7,9.1,6.8,Fascinating research on Behavioral Psychology. The conclusions were innovative.,Behavioral Psychology
P284,Shelia Wallace,Physical Sciences,Day 2,Delhi,BITS Hyderabad,9.3,9.6,7.0,8.6,Research on Astronomical Observations requires more better designed methodology.,Astronomical Observations
P285,Stephanie Williams,Physical Sciences,Day 3,Delhi,IIT Madras,5.7,8.9,5.5,6.7,Great insights into Materials Science. The visual representation was rigorous.,Materials Science
P286,Elaine Brooks,Social Sciences,Day 4,Karnataka,VIT Vellore,9.8,6.0,6.5,7.4,Excellent presentation on Cultural Studies. The research methodology was innovative.,Cultural Studies
P287,Joseph Knight,Life Sciences,Day 3,Haryana,SRM Chennai,6.1,9.3,5.7,7.0,"Nice effort on Genetic Engineering, but the analysis needs to be more better organized.",Genetic Engineering
P288,Carolyn Miller,Engineering Sciences,Day 3,Gujarat,NIT Trichy,9.8,9.3,7.8,9.0,Interesting approach to Renewable Energy. The methodology could be better organized.,Renewable Energy
P289,Lisa Allen,Engineering Sciences,Day 2,Karnataka,IIT Bombay,9.2,9.9,5.7,8.3,Research on Renewable Energy requires more stronger methodology.,Renewable Energy
P290,Briana Murray,Social Sciences,Day 1,Maharashtra,IIT Madras,9.5,7.2,5.6,7.4,Research on Economic Policy requires more stronger methodology.,Economic Policy
P291,David Smith,Engineering Sciences,Day 4,Maharashtra,NIT Trichy,7.2,8.6,7.5,7.8,Great insights into Sustainable Architecture. The visual representation was comprehensive.,Sustainable Architecture
P292,Stephanie Byrd,Social Sciences,Day 2,Tamil Nadu,BITS Pilani,7.2,5.7,8.1,7.0,"Nice effort on Cultural Studies, but the analysis needs to be more better organized.",Cultural Studies
P293,Jeremy Reed,Physical Sciences,Day 4,Maharashtra,IIT Madras,6.9,7.1,8.2,7.4,"Good presentation on Astronomical Observations, though the data could be more focused.",Astronomical Observations
P294,Margaret Coleman,Engineering Sciences,Day 4,Haryana,Mumbai University,7.7,7.4,9.6,8.2,"Decent work on Robotics, would benefit from more more structured examples.",Robotics
P295,Ryan Gonzalez,Life Sciences,Day 1,Telangana,SRM Chennai,5.1,9.1,6.4,6.9,The work on Microbiology could benefit from more comprehensive references.,Microbiology
P296,John Young,Social Sciences,Day 2,Tamil Nadu,IIT Kanpur,8.3,6.3,9.1,7.9,The presentation on Economic Policy lacked more coherent evidence.,Economic Policy
P297,Laura Haney,Physical Sciences,Day 3,Tamil Nadu,NIT Trichy,8.0,9.0,8.5,8.5,The presentation on Materials Science lacked better designed evidence.,Materials Science
P298,William Barrett,Life Sciences,Day 2,Uttar Pradesh,VIT Vellore,5.9,5.2,5.3,5.5,Interesting approach to Neuroscience. The methodology could be more focused.,Neuroscience
P299,Keith Jennings,Physical Sciences,Day 1,Telangana,SRM Chennai,9.0,6.7,5.9,7.2,Research on Materials Science requires more stronger methodology.,Materials Science
P300,Amber Obrien,Engineering Sciences,Day 2,Punjab,IIT Kharagpur,9.2,9.3,9.8,9.4,Great insights into Renewable Energy. The visual representation was insightful.,Renewable Energy
P301,Tanner Mitchell DDS,Engineering Sciences,Day 3,Gujarat,Delhi University,9.9,8.7,7.2,8.6,"Decent work on Machine Learning, would benefit from more more structured examples.",Machine Learning
P302,Heather Fields,Life Sciences,Day 3,Delhi,IIIT Hyderabad,6.9,8.7,6.5,7.4,Excellent presentation on Microbiology. The research methodology was insightful.,Microbiology
P303,Megan Le,Physical Sciences,Day 1,Tamil Nadu,SRM Chennai,9.6,9.8,6.1,8.5,"Decent work on Astronomical Observations, would benefit from more more detailed examples.",Astronomical Observations
P304,Sara Fuller,Social Sciences,Day 1,Delhi,Mumbai University,5.8,9.4,5.4,6.9,"Nice effort on Cultural Studies, but the analysis needs to be more better organized.",Cultural Studies
P305,Maria Parker,Engineering Sciences,Day 3,Delhi,NIT Surathkal,6.8,8.9,8.6,8.1,Great insights into Renewable Energy. The visual representation was rigorous.,Renewable Energy
P306,Kevin Oconnor,Life Sciences,Day 4,Uttar Pradesh,Pune University,7.7,5.5,7.4,6.9,The poster about Neuroscience needs more more coherent analysis.,Neuroscience
P307,Edward Burgess,Physical Sciences,Day 1,Maharashtra,BITS Hyderabad,6.6,9.8,5.4,7.3,Great insights into Quantum Physics. The visual representation was comprehensive.,Quantum Physics
P308,Carlos Ryan,Engineering Sciences,Day 1,Telangana,SRM Chennai,9.5,8.5,7.2,8.4,"Standard research on Sustainable Architecture, could use more better organized perspectives.",Sustainable Architecture
P309,Kiara Mcintyre,Life Sciences,Day 1,Karnataka,Delhi University,9.9,7.0,7.8,8.2,The study on Microbiology needs better designed clarification.,Microbiology
P310,Dawn Summers,Social Sciences,Day 3,Delhi,IIT Kanpur,7.0,7.7,7.5,7.4,Excellent presentation on Urban Development. The research methodology was rigorous.,Urban Development
P311,Dr. Paul Morgan,Engineering Sciences,Day 3,Kerala,SRM Chennai,6.0,5.1,5.9,5.7,Excellent presentation on Robotics. The research methodology was rigorous.,Robotics
P312,Victor Taylor,Engineering Sciences,Day 3,West Bengal,Jadavpur University,9.5,6.3,8.2,8.0,Impressive work on Robotics. The analysis was rigorous and thorough.,Robotics
P313,Shannon Ramsey,Social Sciences,Day 2,Uttar Pradesh,IIT Delhi,7.2,6.3,9.2,7.6,"Good presentation on Cultural Studies, though the data could be clearer.",Cultural Studies
P314,Tracy Ballard,Engineering Sciences,Day 3,Rajasthan,Anna University,6.1,5.3,6.9,6.1,"Standard research on Sustainable Architecture, could use more better organized perspectives.",Sustainable Architecture
P315,Richard Smith,Life Sciences,Day 4,Gujarat,IIT Madras,9.5,8.6,7.5,8.5,The study on Biotechnology needs more comprehensive clarification.,Biotechnology
P316,Jordan Chambers,Life Sciences,Day 1,Uttar Pradesh,NIT Trichy,9.9,9.0,5.6,8.2,Great insights into Microbiology. The visual representation was comprehensive.,Microbiology
P317,Lauren Carson,Life Sciences,Day 3,Telangana,IIT Madras,6.9,7.0,6.6,6.8,Great insights into Genetic Engineering. The visual representation was innovative.,Genetic Engineering
P318,Ashley Hall,Physical Sciences,Day 1,West Bengal,IIT Kharagpur,7.8,7.9,9.8,8.5,Excellent presentation on Materials Science. The research methodology was insightful.,Materials Science
P319,Stephen Hoffman,Engineering Sciences,Day 3,Rajasthan,Mumbai University,6.3,8.3,7.9,7.5,Very informative poster about Robotics. The results were detailed.,Robotics
P320,Connie Brown,Physical Sciences,Day 2,Punjab,SRM Chennai,5.2,9.4,6.7,7.1,Great insights into Climate Modeling. The visual representation was detailed.,Climate Modeling
